2
96
-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
-0.71277811011064909198660343271846599462666882872855169878839793393083663247275721690582147603178953731507248617917971318105759057e-2	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.48112522432468813709095731708496454637300145939177239668216860540331472691911112141142949632145793768767392817094630639721387364	1
-0.89097263763831136498325429089808249328333603591068962348549741741354579059094652113227684503973692164384060772397464147632198822e-3	0.64814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815e-1	-0.38490017945975050967276585366797163709840116751341791734573488432265178153528889712914359705716635015013914253675704511777109891	1
