
Date:2/2/2010
Time:13:40:15
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.5001209294,0.0000000000)	(0.9998790706,0.0000000000)
(-0.6074919354,0.0000000000)	(0.8925080646,0.0000000000)
(-0.6139489543,0.0000000000)	(0.8860510457,0.0000000000)
(-0.6205375938,0.0000000000)	(0.8794624062,0.0000000000)
(-0.6272514798,0.0000000000)	(0.8727485202,0.0000000000)
(-0.6340841170,0.0000000000)	(0.8659158830,0.0000000000)
(-0.6410288954,0.0000000000)	(0.8589711046,0.0000000000)
(-0.6480790963,0.0000000000)	(0.8519209037,0.0000000000)
(-0.6552278990,0.0000000000)	(0.8447721010,0.0000000000)
(-0.6624683877,0.0000000000)	(0.8375316123,0.0000000000)
(-0.6697935575,0.0000000000)	(0.8302064425,0.0000000000)
(-0.6771963219,0.0000000000)	(0.8228036781,0.0000000000)
(-0.6846695192,0.0000000000)	(0.8153304808,0.0000000000)
(-0.6922059195,0.0000000000)	(0.8077940805,0.0000000000)
(-0.6997982318,0.0000000000)	(0.8002017682,0.0000000000)
(-0.7074391111,0.0000000000)	(0.7925608889,0.0000000000)
(-0.7151211653,0.0000000000)	(0.7848788347,0.0000000000)
(-0.7228369625,0.0000000000)	(0.7771630375,0.0000000000)
(-0.7305790382,0.0000000000)	(0.7694209618,0.0000000000)
(-0.7383399024,0.0000000000)	(0.7616600976,0.0000000000)
(-0.7461120470,0.0000000000)	(0.7538879530,0.0000000000)
(-0.7538879530,0.0000000000)	(0.7461120470,0.0000000000)
(-0.7616600976,0.0000000000)	(0.7383399024,0.0000000000)
(-0.7694209618,0.0000000000)	(0.7305790382,0.0000000000)
(-0.7771630375,0.0000000000)	(0.7228369625,0.0000000000)
(-0.7848788347,0.0000000000)	(0.7151211653,0.0000000000)
(-0.7925608889,0.0000000000)	(0.7074391111,0.0000000000)
(-0.8002017682,0.0000000000)	(0.6997982318,0.0000000000)
(-0.8077940805,0.0000000000)	(0.6922059195,0.0000000000)
(-0.8153304808,0.0000000000)	(0.6846695192,0.0000000000)
(-0.8228036781,0.0000000000)	(0.6771963219,0.0000000000)
(-0.8302064425,0.0000000000)	(0.6697935575,0.0000000000)
(-0.8375316123,0.0000000000)	(0.6624683877,0.0000000000)
(-0.8447721010,0.0000000000)	(0.6552278990,0.0000000000)
(-0.8519209037,0.0000000000)	(0.6480790963,0.0000000000)
(-0.8589711046,0.0000000000)	(0.6410288954,0.0000000000)
(-0.8659158830,0.0000000000)	(0.6340841170,0.0000000000)
(-0.8727485202,0.0000000000)	(0.6272514798,0.0000000000)
(-0.8794624062,0.0000000000)	(0.6205375938,0.0000000000)
(-0.8860510457,0.0000000000)	(0.6139489543,0.0000000000)
(-0.8925080646,0.0000000000)	(0.6074919354,0.0000000000)
(-0.8988272161,0.0000000000)	(0.6011727839,0.0000000000)
(-0.9050023869,0.0000000000)	(0.5949976131,0.0000000000)
(-0.9110276029,0.0000000000)	(0.5889723971,0.0000000000)
(-0.9168970351,0.0000000000)	(0.5831029649,0.0000000000)
(-0.9226050051,0.0000000000)	(0.5773949949,0.0000000000)
(-0.9281459910,0.0000000000)	(0.5718540090,0.0000000000)
(-0.9335146322,0.0000000000)	(0.5664853678,0.0000000000)
(-0.9387057348,0.0000000000)	(0.5612942652,0.0000000000)
(-0.9437142768,0.0000000000)	(0.5562857232,0.0000000000)
(-0.9485354127,0.0000000000)	(0.5514645873,0.0000000000)
(-0.9531644785,0.0000000000)	(0.5468355215,0.0000000000)
(-0.9575969957,0.0000000000)	(0.5424030043,0.0000000000)
(-0.9618286762,0.0000000000)	(0.5381713238,0.0000000000)
(-0.9658554262,0.0000000000)	(0.5341445738,0.0000000000)
(-0.9696733500,0.0000000000)	(0.5303266500,0.0000000000)
(-0.9732787540,0.0000000000)	(0.5267212460,0.0000000000)
(-0.9766681503,0.0000000000)	(0.5233318497,0.0000000000)
(-0.9798382597,0.0000000000)	(0.5201617403,0.0000000000)
(-0.9827860155,0.0000000000)	(0.5172139845,0.0000000000)
(-0.9855085659,0.0000000000)	(0.5144914341,0.0000000000)
(-0.9880032769,0.0000000000)	(0.5119967231,0.0000000000)
(-0.9902677351,0.0000000000)	(0.5097322649,0.0000000000)
(-0.9922997498,0.0000000000)	(0.5077002502,0.0000000000)
(-0.9940973551,0.0000000000)	(0.5059026449,0.0000000000)
(-0.9956588121,0.0000000000)	(0.5043411879,0.0000000000)
(-0.9969826099,0.0000000000)	(0.5030173901,0.0000000000)
(-0.9980674681,0.0000000000)	(0.5019325319,0.0000000000)
(-0.9989123370,0.0000000000)	(0.5010876630,0.0000000000)
(-0.9995163993,0.0000000000)	(0.5004836007,0.0000000000)
(-0.9998790706,0.0000000000)	(0.5001209294,0.0000000000)
Quadrature Weights
1.915250363e-005	1.915250363e-005
7.653591720e-005	7.653591720e-005
0.0001719282354	0.0001719282354
0.0003049604040	0.0003049604040
0.0004751177472	0.0004751177472
0.0006817419594	0.0006817419594
0.0009240336517	0.0009240336517
0.001201055445	0.001201055445
0.001511735594	0.001511735594
0.001854872140	0.001854872140
0.002229137553	0.002229137553
0.002633083874	0.002633083874
0.003065148311	0.003065148311
0.003523659293	0.003523659293
0.004006842928	0.004006842928
0.004512829874	0.004512829874
0.005039662565	0.005039662565
0.005585302787	0.005585302787
0.006147639566	0.006147639566
0.006724497329	0.006724497329
0.007313644325	0.007313644325
0.007912801259	0.007912801259
0.008519650109	0.008519650109
0.009131843096	0.009131843096
0.009747011763	0.009747011763
0.01036277614	0.01036277614
0.01097675396	0.01097675396
0.01158656986	0.01158656986
0.01218986458	0.01218986458
0.01278430408	0.01278430408
0.01336758861	0.01336758861
0.01393746153	0.01393746153
0.01449171814	0.01449171814
0.01502821411	0.01502821411
0.01554487384	0.01554487384
0.01603969849	0.01603969849
0.01651077367	0.01651077367
0.01695627687	0.01695627687
0.01737448455	0.01737448455
0.01776377872	0.01776377872
0.01812265329	0.01812265329
0.01844971985	0.01844971985
0.01874371303	0.01874371303
0.01900349544	0.01900349544
0.01922806201	0.01922806201
0.01941654396	0.01941654396
0.01956821208	0.01956821208
0.01968247960	0.01968247960
0.01975890444	0.01975890444
0.01979719091	0.01979719091
0.01979719091	0.01979719091
0.01975890444	0.01975890444
0.01968247960	0.01968247960
0.01956821208	0.01956821208
0.01941654396	0.01941654396
0.01922806201	0.01922806201
0.01900349544	0.01900349544
0.01874371303	0.01874371303
0.01844971985	0.01844971985
0.01812265329	0.01812265329
0.01776377872	0.01776377872
0.01737448455	0.01737448455
0.01695627687	0.01695627687
0.01651077367	0.01651077367
0.01603969849	0.01603969849
0.01554487384	0.01554487384
0.01502821411	0.01502821411
0.01449171814	0.01449171814
0.01393746153	0.01393746153
0.01336758861	0.01336758861
0.01278430408	0.01278430408
0.01218986458	0.01218986458
0.01158656986	0.01158656986
0.01097675396	0.01097675396
0.01036277614	0.01036277614
0.009747011763	0.009747011763
0.009131843096	0.009131843096
0.008519650109	0.008519650109
0.007912801259	0.007912801259
0.007313644325	0.007313644325
0.006724497329	0.006724497329
0.006147639566	0.006147639566
0.005585302787	0.005585302787
0.005039662565	0.005039662565
0.004512829874	0.004512829874
0.004006842928	0.004006842928
0.003523659293	0.003523659293
0.003065148311	0.003065148311
0.002633083874	0.002633083874
0.002229137553	0.002229137553
0.001854872140	0.001854872140
0.001511735594	0.001511735594
0.001201055445	0.001201055445
0.0009240336517	0.0009240336517
0.0006817419594	0.0006817419594
0.0004751177472	0.0004751177472
0.0003049604040	0.0003049604040
0.0001719282354	0.0001719282354
7.653591720e-005	7.653591720e-005
1.915250363e-005	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.7500000000	1.000000000
0.0000000000	0.01562500000	0.7285533906	1.000000000
-0.02310239673	0.03147664266	-0.7392789515	1.000000000
0.02344000137	0.03159163192	0.7391256811	1.000000000
-0.02326757140	0.03147654730	-0.7392779449	1.000000000
0.02327479372	0.03148231792	0.7392724289	1.000000000
-0.02327105187	0.03147820961	-0.7392773105	1.000000000
0.02327131096	0.03147845927	0.7392770870	1.000000000
-0.02327118456	0.03147829401	-0.7392772739	1.000000000
0.02327119503	0.03147830497	0.7392772644	1.000000000
-0.02327119012	0.03147829795	-0.7392772721	1.000000000
0.02327119057	0.03147829844	0.7392772716	1.000000000
-0.02327119036	0.03147829813	-0.7392772720	1.000000000
0.02327119038	0.03147829815	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	0.0000000000
Matrix from Quadrature
-0.7500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.01562500000	0.7285533906	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.02310239673	0.03147664266	-0.7392789515	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.02344000137	0.03159163192	0.7391256811	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	-0.02326757140	0.03147654730	-0.7392779449	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.02327479372	0.03148231792	0.7392724289	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.02327105187	0.03147820961	-0.7392773105	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.02327131096	0.03147845927	0.7392770870	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
